book,page,seq,hangul,pos,meaning_cn,example_ko,example_zh,status,note
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),207,206,현금,,现金,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),208,207,신용카드,,信用卡,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),209,208,은행카드,,银行卡,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),210,209,지폐,,纸币,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),211,210,동전,,硬币,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),212,211,금고,,保险箱,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),213,212,절약,,节约,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),213,213,낭비,,浪费,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),213,214,비용,,费用,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),213,215,지출,,支出,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),213,216,계획,,计划,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),213,217,물가,,物价,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),213,218,집세,,房租,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),213,219,가난,,贫穷,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),213,220,부유,,富裕,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),213,221,싸다,,便宜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),213,222,비싸다,,昂贵,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),217,223,꿈에본돈이다.,,人靠衣装马靠鞍。,,,delete,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),221,224,채소를사다,,买菜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),221,225,채소를씻다,,洗菜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),221,226,밥을짓다,,做饭,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),222,227,마루를청소하다,,拖地,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),223,228,밥상을치우다,,收拾饭桌,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),224,229,옷을다리다,,熨衣服,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),225,230,꽃에물을주다,,浇花,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),226,231,설거지,,洗碗,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),227,232,옷을빨다,,洗衣服,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),228,233,창문을닦다,,擦窗户,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),229,234,구두를솔질하다,,刷鞋,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),229,235,청소하다,,扫地,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),229,236,쓰레기를버리다,,倒垃圾,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),229,237,잡물을정리하다,,整理杂物,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),229,238,냄비를씻다,,洗锅,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),235,239,배터리,,电池,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),236,240,전화번호,,电话号码,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),237,241,전화박스,,电话亭,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),238,242,핸드폰,,手机,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),239,243,전화번호부,,电话簿,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),240,244,전화하다,,打电话,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),241,245,필링,,彩铃,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),247,246,이력서,,简历,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),247,247,이름,,名字,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),247,248,국적,,国籍,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),247,249,나이,,年龄,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),247,250,전공,,专业,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),247,251,출근,,上班,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),248,252,퇴근,,下班,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),249,253,휴가,,假期,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),250,254,승진,,升职,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),251,255,증봉,,加薪,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),252,256,개회하다,,开会,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,257,성별,,性别,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,258,주소,,住所,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,259,경력,,经历,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,260,회장,,会长,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,261,사장,,社长,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,262,전무,,专务,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,263,상무,,常务,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,264,부장,,部长,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,265,차장,,次长,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,266,과장,,科长,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,267,대리,,代理,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),253,268,주임,,主任,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),254,269,사원,,社员,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),254,270,조퇴,,早退,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),254,271,결석,,缺席,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),254,272,실업하다,,失业,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),254,273,해고하다,,解雇,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),263,274,예약,,预约,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),263,275,포장,,打包,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),263,276,계산,,结账,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),263,277,레스토랑,,餐厅,,,,
